SKU,Description,Extended Descriptions,Department,Category,MSRP,Supplier,SupplierCost,Reordernumber,Default Price,Default Cost,Size,Color,Team,Syncode 1 (Product Line),Barcode Number,Style,League,Series/Sport,Royalty Class,Season,Driver/Player Marks,Car/Player #,Sponsor,Year,Event/Program Marks,Owner,NTP Code,Royalty Code,Brand,Country Origin,Royalty Free,ParentLocation,ImportToAllLocations,BarcodeType,Taxable,ImportCompleted,SpecialInstructions,LocationKey,TaxGroup,ReplyTo
,CAP AC FITTED BP 2019 HOME,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$15.30 ,NEW,$39.00 ,$15.30 ,6 7/8,ORBK,San Francisco Giants,Inherited,302902,CAP AC FITTED BP 2019 HOME,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP AC FITTED BP 2019 HOME,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$15.30 ,NEW,$39.00 ,$15.30 ,7,ORBK,San Francisco Giants,Inherited,18530,CAP AC FITTED BP 2019 HOME,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP AC FITTED BP 2019 HOME,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$15.30 ,NEW,$39.00 ,$15.30 ,7 1/8,ORBK,San Francisco Giants,Inherited,13270,CAP AC FITTED BP 2019 HOME,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP AC FITTED BP 2019 HOME,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$15.30 ,NEW,$39.00 ,$15.30 ,7 1/4,ORBK,San Francisco Giants,Inherited,18516,CAP AC FITTED BP 2019 HOME,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP AC FITTED BP 2019 HOME,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$15.30 ,NEW,$39.00 ,$15.30 ,7 3/8,ORBK,San Francisco Giants,Inherited,305686,CAP AC FITTED BP 2019 HOME,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP AC FITTED BP 2019 HOME,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$15.30 ,NEW,$39.00 ,$15.30 ,7 1/2,ORBK,San Francisco Giants,Inherited,300934,CAP AC FITTED BP 2019 HOME,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP AC FITTED BP 2019 HOME,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$15.30 ,NEW,$39.00 ,$15.30 ,7 5/8,ORBK,San Francisco Giants,Inherited,14033,CAP AC FITTED BP 2019 HOME,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP AC FITTED BP 2019 HOME,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$15.30 ,NEW,$39.00 ,$15.30 ,7 3/4,ORBK,San Francisco Giants,Inherited,16674,CAP AC FITTED BP 2019 HOME,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP AC FITTED BP 2019 HOME,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$15.30 ,NEW,$39.00 ,$15.30 ,7 7/8,ORBK,San Francisco Giants,Inherited,300624,CAP AC FITTED BP 2019 HOME,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP AC FITTED BP 2019 HOME,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$15.30 ,NEW,$39.00 ,$15.30 ,8,ORBK,San Francisco Giants,Inherited,302695,CAP AC FITTED BP 2019 HOME,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP AC FITTED BP 2019 ROAD,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$15.30 ,NEW,$39.00 ,$15.30 ,6 7/8,GRBK,San Francisco Giants,Inherited,17040,CAP AC FITTED BP 2019 ROAD,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP AC FITTED BP 2019 ROAD,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$15.30 ,NEW,$39.00 ,$15.30 ,7,GRBK,San Francisco Giants,Inherited,306579,CAP AC FITTED BP 2019 ROAD,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP AC FITTED BP 2019 ROAD,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$15.30 ,NEW,$39.00 ,$15.30 ,7 1/8,GRBK,San Francisco Giants,Inherited,6703,CAP AC FITTED BP 2019 ROAD,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP AC FITTED BP 2019 ROAD,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$15.30 ,NEW,$39.00 ,$15.30 ,7 1/4,GRBK,San Francisco Giants,Inherited,14106,CAP AC FITTED BP 2019 ROAD,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP AC FITTED BP 2019 ROAD,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$15.30 ,NEW,$39.00 ,$15.30 ,7 3/8,GRBK,San Francisco Giants,Inherited,14032,CAP AC FITTED BP 2019 ROAD,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP AC FITTED BP 2019 ROAD,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$15.30 ,NEW,$39.00 ,$15.30 ,7 1/2,GRBK,San Francisco Giants,Inherited,8538,CAP AC FITTED BP 2019 ROAD,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP AC FITTED BP 2019 ROAD,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$15.30 ,NEW,$39.00 ,$15.30 ,7 5/8,GRBK,San Francisco Giants,Inherited,16497,CAP AC FITTED BP 2019 ROAD,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP AC FITTED BP 2019 ROAD,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$15.30 ,NEW,$39.00 ,$15.30 ,7 3/4,GRBK,San Francisco Giants,Inherited,16997,CAP AC FITTED BP 2019 ROAD,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP AC FITTED BP 2019 ROAD,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$15.30 ,NEW,$39.00 ,$15.30 ,7 7/8,GRBK,San Francisco Giants,Inherited,5730,CAP AC FITTED BP 2019 ROAD,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP AC FITTED BP 2019 ROAD,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$15.30 ,NEW,$39.00 ,$15.30 ,8,GRBK,San Francisco Giants,Inherited,7707,CAP AC FITTED BP 2019 ROAD,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP AC STRETCH BP 2019 HOME,,HEADWEAR,ADJUSTABLE,$35.00 ,NoSupplier,$13.60 ,NEW,$35.00 ,$13.60 ,SM/MED,ORBK,San Francisco Giants,Inherited,302118,CAP AC STRETCH BP 2019 HOME,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP AC STRETCH BP 2019 HOME,,HEADWEAR,ADJUSTABLE,$35.00 ,NoSupplier,$13.60 ,NEW,$35.00 ,$13.60 ,MED/LG,ORBK,San Francisco Giants,Inherited,300303,CAP AC STRETCH BP 2019 HOME,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP AC STRETCH BP 2019 HOME,,HEADWEAR,ADJUSTABLE,$35.00 ,NoSupplier,$13.60 ,NEW,$35.00 ,$13.60 ,LG/XLG,ORBK,San Francisco Giants,Inherited,16277,CAP AC STRETCH BP 2019 HOME,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP AC STRETCH BP 2019 ROAD,,HEADWEAR,ADJUSTABLE,$35.00 ,NoSupplier,$13.60 ,NEW,$35.00 ,$13.60 ,SM/MED,GRBK,San Francisco Giants,Inherited,14100,CAP AC STRETCH BP 2019 ROAD,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP AC STRETCH BP 2019 ROAD,,HEADWEAR,ADJUSTABLE,$35.00 ,NoSupplier,$13.60 ,NEW,$35.00 ,$13.60 ,MED/LG,GRBK,San Francisco Giants,Inherited,302267,CAP AC STRETCH BP 2019 ROAD,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP AC STRETCH BP 2019 ROAD,,HEADWEAR,ADJUSTABLE,$35.00 ,NoSupplier,$13.60 ,NEW,$35.00 ,$13.60 ,LG/XLG,GRBK,San Francisco Giants,Inherited,302277,CAP AC STRETCH BP 2019 ROAD,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED FRACTURED METAL,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$16.15 ,NEW,$39.00 ,$16.15 ,6 7/8,BKGD,San Francisco Giants,Inherited,300878,CAP FITTED FRACTURED METAL,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED FRACTURED METAL,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$16.15 ,NEW,$39.00 ,$16.15 ,7,BKGD,San Francisco Giants,Inherited,300656,CAP FITTED FRACTURED METAL,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED FRACTURED METAL,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$16.15 ,NEW,$39.00 ,$16.15 ,7 1/8,BKGD,San Francisco Giants,Inherited,14608,CAP FITTED FRACTURED METAL,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED FRACTURED METAL,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$16.15 ,NEW,$39.00 ,$16.15 ,7 1/4,BKGD,San Francisco Giants,Inherited,13225,CAP FITTED FRACTURED METAL,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED FRACTURED METAL,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$16.15 ,NEW,$39.00 ,$16.15 ,7 3/8,BKGD,San Francisco Giants,Inherited,11820,CAP FITTED FRACTURED METAL,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED FRACTURED METAL,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$16.15 ,NEW,$39.00 ,$16.15 ,7 1/2,BKGD,San Francisco Giants,Inherited,18520,CAP FITTED FRACTURED METAL,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED FRACTURED METAL,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$16.15 ,NEW,$39.00 ,$16.15 ,7 5/8,BKGD,San Francisco Giants,Inherited,9283,CAP FITTED FRACTURED METAL,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED FRACTURED METAL,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$16.15 ,NEW,$39.00 ,$16.15 ,7 3/4,BKGD,San Francisco Giants,Inherited,8887,CAP FITTED FRACTURED METAL,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED FRACTURED METAL,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$16.15 ,NEW,$39.00 ,$16.15 ,7 7/8,BKGD,San Francisco Giants,Inherited,1013,CAP FITTED FRACTURED METAL,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED FRACTURED METAL,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$16.15 ,NEW,$39.00 ,$16.15 ,8,BKGD,San Francisco Giants,Inherited,16663,CAP FITTED FRACTURED METAL,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED FRACTURED METAL,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$16.15 ,NEW,$39.00 ,$16.15 ,6 7/8,BKSI,San Francisco Giants,Inherited,6694,CAP FITTED FRACTURED METAL,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED FRACTURED METAL,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$16.15 ,NEW,$39.00 ,$16.15 ,7,BKSI,San Francisco Giants,Inherited,300636,CAP FITTED FRACTURED METAL,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED FRACTURED METAL,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$16.15 ,NEW,$39.00 ,$16.15 ,7 1/8,BKSI,San Francisco Giants,Inherited,300635,CAP FITTED FRACTURED METAL,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED FRACTURED METAL,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$16.15 ,NEW,$39.00 ,$16.15 ,7 1/4,BKSI,San Francisco Giants,Inherited,14622,CAP FITTED FRACTURED METAL,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED FRACTURED METAL,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$16.15 ,NEW,$39.00 ,$16.15 ,7 3/8,BKSI,San Francisco Giants,Inherited,13272,CAP FITTED FRACTURED METAL,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED FRACTURED METAL,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$16.15 ,NEW,$39.00 ,$16.15 ,7 1/2,BKSI,San Francisco Giants,Inherited,302286,CAP FITTED FRACTURED METAL,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED FRACTURED METAL,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$16.15 ,NEW,$39.00 ,$16.15 ,7 5/8,BKSI,San Francisco Giants,Inherited,16831,CAP FITTED FRACTURED METAL,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED FRACTURED METAL,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$16.15 ,NEW,$39.00 ,$16.15 ,7 3/4,BKSI,San Francisco Giants,Inherited,18013,CAP FITTED FRACTURED METAL,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED FRACTURED METAL,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$16.15 ,NEW,$39.00 ,$16.15 ,7 7/8,BKSI,San Francisco Giants,Inherited,7309,CAP FITTED FRACTURED METAL,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED FRACTURED METAL,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$16.15 ,NEW,$39.00 ,$16.15 ,8,BKSI,San Francisco Giants,Inherited,11815,CAP FITTED FRACTURED METAL,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED FRACTURED METAL,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$16.15 ,NEW,$39.00 ,$16.15 ,6 7/8,WHGD,San Francisco Giants,Inherited,16857,CAP FITTED FRACTURED METAL,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED FRACTURED METAL,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$16.15 ,NEW,$39.00 ,$16.15 ,7,WHGD,San Francisco Giants,Inherited,13995,CAP FITTED FRACTURED METAL,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED FRACTURED METAL,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$16.15 ,NEW,$39.00 ,$16.15 ,7 1/8,WHGD,San Francisco Giants,Inherited,16318,CAP FITTED FRACTURED METAL,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED FRACTURED METAL,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$16.15 ,NEW,$39.00 ,$16.15 ,7 1/4,WHGD,San Francisco Giants,Inherited,4770,CAP FITTED FRACTURED METAL,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED FRACTURED METAL,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$16.15 ,NEW,$39.00 ,$16.15 ,7 3/8,WHGD,San Francisco Giants,Inherited,18727,CAP FITTED FRACTURED METAL,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED FRACTURED METAL,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$16.15 ,NEW,$39.00 ,$16.15 ,7 1/2,WHGD,San Francisco Giants,Inherited,300654,CAP FITTED FRACTURED METAL,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED FRACTURED METAL,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$16.15 ,NEW,$39.00 ,$16.15 ,7 5/8,WHGD,San Francisco Giants,Inherited,300641,CAP FITTED FRACTURED METAL,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED FRACTURED METAL,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$16.15 ,NEW,$39.00 ,$16.15 ,7 3/4,WHGD,San Francisco Giants,Inherited,300627,CAP FITTED FRACTURED METAL,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED FRACTURED METAL,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$16.15 ,NEW,$39.00 ,$16.15 ,7 7/8,WHGD,San Francisco Giants,Inherited,14017,CAP FITTED FRACTURED METAL,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED FRACTURED METAL,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$16.15 ,NEW,$39.00 ,$16.15 ,8,WHGD,San Francisco Giants,Inherited,1268,CAP FITTED FRACTURED METAL,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED HEATHER HYPE 2,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$14.45 ,NEW,$39.00 ,$14.45 ,6 7/8,GRAPHITE,San Francisco Giants,Inherited,13227,CAP FITTED HEATHER HYPE 2,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED HEATHER HYPE 2,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$14.45 ,NEW,$39.00 ,$14.45 ,7,GRAPHITE,San Francisco Giants,Inherited,16322,CAP FITTED HEATHER HYPE 2,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED HEATHER HYPE 2,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$14.45 ,NEW,$39.00 ,$14.45 ,7 1/8,GRAPHITE,San Francisco Giants,Inherited,527,CAP FITTED HEATHER HYPE 2,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED HEATHER HYPE 2,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$14.45 ,NEW,$39.00 ,$14.45 ,7 1/4,GRAPHITE,San Francisco Giants,Inherited,14041,CAP FITTED HEATHER HYPE 2,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED HEATHER HYPE 2,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$14.45 ,NEW,$39.00 ,$14.45 ,7 3/8,GRAPHITE,San Francisco Giants,Inherited,13292,CAP FITTED HEATHER HYPE 2,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED HEATHER HYPE 2,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$14.45 ,NEW,$39.00 ,$14.45 ,7 1/2,GRAPHITE,San Francisco Giants,Inherited,302288,CAP FITTED HEATHER HYPE 2,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED HEATHER HYPE 2,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$14.45 ,NEW,$39.00 ,$14.45 ,7 5/8,GRAPHITE,San Francisco Giants,Inherited,300290,CAP FITTED HEATHER HYPE 2,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED HEATHER HYPE 2,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$14.45 ,NEW,$39.00 ,$14.45 ,7 3/4,GRAPHITE,San Francisco Giants,Inherited,11818,CAP FITTED HEATHER HYPE 2,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED HEATHER HYPE 2,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$14.45 ,NEW,$39.00 ,$14.45 ,7 7/8,GRAPHITE,San Francisco Giants,Inherited,17523,CAP FITTED HEATHER HYPE 2,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED HEATHER HYPE 2,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$14.45 ,NEW,$39.00 ,$14.45 ,8,GRAPHITE,San Francisco Giants,Inherited,44447,CAP FITTED HEATHER HYPE 2,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED LOGO STOPPER,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$14.45 ,NEW,$39.00 ,$14.45 ,6 7/8,BLK,San Francisco Giants,Inherited,307556,CAP FITTED LOGO STOPPER,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED LOGO STOPPER,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$14.45 ,NEW,$39.00 ,$14.45 ,7,BLK,San Francisco Giants,Inherited,302181,CAP FITTED LOGO STOPPER,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED LOGO STOPPER,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$14.45 ,NEW,$39.00 ,$14.45 ,7 1/8,BLK,San Francisco Giants,Inherited,14040,CAP FITTED LOGO STOPPER,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED LOGO STOPPER,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$14.45 ,NEW,$39.00 ,$14.45 ,7 1/4,BLK,San Francisco Giants,Inherited,14121,CAP FITTED LOGO STOPPER,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED LOGO STOPPER,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$14.45 ,NEW,$39.00 ,$14.45 ,7 3/8,BLK,San Francisco Giants,Inherited,43807,CAP FITTED LOGO STOPPER,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED LOGO STOPPER,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$14.45 ,NEW,$39.00 ,$14.45 ,7 1/2,BLK,San Francisco Giants,Inherited,306640,CAP FITTED LOGO STOPPER,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED LOGO STOPPER,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$14.45 ,NEW,$39.00 ,$14.45 ,7 5/8,BLK,San Francisco Giants,Inherited,300727,CAP FITTED LOGO STOPPER,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED LOGO STOPPER,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$14.45 ,NEW,$39.00 ,$14.45 ,7 3/4,BLK,San Francisco Giants,Inherited,302270,CAP FITTED LOGO STOPPER,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED LOGO STOPPER,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$14.45 ,NEW,$39.00 ,$14.45 ,7 7/8,BLK,San Francisco Giants,Inherited,302271,CAP FITTED LOGO STOPPER,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED LOGO STOPPER,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$14.45 ,NEW,$39.00 ,$14.45 ,8,BLK,San Francisco Giants,Inherited,300372,CAP FITTED LOGO STOPPER,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CAP FITTED METAL FRAMED,,HEADWEAR,ADJUSTABLE,$39.00 ,NoSupplier,$16.15 ,NEW,$39.00 ,$16.15 ,6 7/8,BLK,San Francisco Giants,Inherited,11823,CAP FITTED METAL FRAMED,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
